draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.team_abbr,metadata.team_changed_at,metadata.years_exp
1111766493164949505,12,,69,741144911407095808,4035,,6,6,11,Alvin,,Kamara,1724607632875,41,4035,RB,12,nfl,Active,NO,,,7
1111766493164949505,6,,70,1045522732957417472,7611,,1,6,9,Rhamondre,,Stevenson,1724688043106,38,7611,RB,6,nfl,Active,NE,,,3
1111766493164949505,11,,71,830975786608619520,8137,,8,6,13,George,,Pickens,1724861163133,14,8137,WR,11,nfl,Active,PIT,,,2
1111766493164949505,6,,72,1045522732957417472,4070,,1,6,6,T.J.,,Watt,1723040422833,90,4070,LB,6,nfl,Active,PIT,,,7
1111766493164949505,5,,73,862559746694205440,2449,,3,7,17,Stefon,,Diggs,1723968929270,1,2449,WR,5,nfl,Active,HOU,,,9
1111766493164949505,2,,74,594730254984077312,6797,,4,7,1,Justin,Questionable,Herbert,1724265032544,10,6797,QB,2,nfl,Active,LAC,,,4
1111766493164949505,9,,75,862499213718704128,7594,,11,7,6,Chuba,,Hubbard,1724776252288,30,7594,RB,9,nfl,Active,CAR,,,3
1111766493164949505,1,,76,578293895956312064,5872,,2,7,20,Deebo,,Samuel,1724513121181,1,5872,WR,1,nfl,Active,SF,,,5
1111766493164949505,5,,77,862559746694205440,3294,,3,7,7,Dak,,Prescott,1725125719776,4,3294,QB,5,nfl,Active,DAL,,,8
1111766493164949505,9,,78,862499213718704128,2216,,11,7,26,Mike,,Evans,1724451910384,13,2216,WR,9,nfl,Active,TB,,,10
1111766493164949505,3,,79,861798755085692928,5332,,9,7,9,Foyesade,Questionable,Oluokun,1723507250721,23,5332,LB,3,nfl,Active,JAX,,,6
1111766493164949505,11,,80,830975786608619520,3163,,8,7,4,Jared,,Goff,1724516120509,16,3163,QB,11,nfl,Active,DET,,,8
1111766493164949505,6,,81,1045522732957417472,7528,,1,7,6,Najee,,Harris,1724599533465,22,7528,RB,6,nfl,Active,PIT,,,3
1111766493164949505,2,,82,594730254984077312,11583,,4,7,4,Jonathon,PUP,Brooks,1724765751441,24,11583,RB,2,nfl,Active,CAR,,,0
1111766493164949505,11,,83,830975786608619520,5844,,8,7,4,T.J.,PUP,Hockenson,1725211830663,87,5844,TE,11,nfl,Active,MIN,,,5
1111766493164949505,12,,84,741144911407095808,2749,,6,7,5,Raheem,,Mostert,1725197729005,31,2749,RB,12,nfl,Active,MIA,,,9
1111766493164949505,3,,85,861798755085692928,4960,,9,8,6,Roquan,,Smith,1705444231153,0,4960,LB,3,nfl,Active,BAL,,,6
1111766493164949505,6,,86,1045522732957417472,11624,,1,8,2,Xavier,,Worthy,1723998635867,1,11624,WR,6,nfl,Active,KC,,,0
1111766493164949505,12,,87,741144911407095808,3973,,6,8,4,Myles,,Garrett,1722794154642,95,3973,DL,12,nfl,Active,CLE,,,7
1111766493164949505,4,,88,1130644355074629632,4950,,5,8,16,Christian,Questionable,Kirk,1724720445387,13,4950,WR,4,nfl,Active,JAX,,,6
1111766493164949505,9,,89,862499213718704128,8183,,11,8,6,Brock,,Purdy,1724512520500,13,8183,QB,9,nfl,Active,SF,,,2
1111766493164949505,6,,90,1045522732957417472,8290,,1,8,3,Sauce,,Gardner,1716385821603,1,8290,DB,6,nfl,Active,NYJ,,,2
1111766493164949505,3,,91,861798755085692928,8289,,9,8,3,Aidan,,Hutchinson,1709050815398,97,8289,DL,3,nfl,Active,DET,,,2
1111766493164949505,8,,92,595464158774878208,8134,,7,8,3,Khalil,,Shakir,1723953628885,10,8134,WR,8,nfl,Active,BUF,,,2
1111766493164949505,5,,93,862559746694205440,9756,,3,8,3,Jordan,Questionable,Addison,1724217929706,3,9756,WR,5,nfl,Active,MIN,,,1
1111766493164949505,5,,94,862559746694205440,5892,,3,8,18,David,,Montgomery,1724861763185,5,5892,RB,5,nfl,Active,DET,,,5
1111766493164949505,1,,95,578293895956312064,5041,,2,8,4,Fred,Questionable,Warner,1723064125273,54,5041,LB,1,nfl,Active,SF,,,6
1111766493164949505,5,,96,862559746694205440,4217,,3,8,7,George,,Kittle,1724513121159,85,4217,TE,5,nfl,Active,SF,,,7
1111766493164949505,1,,97,578293895956312064,5346,,2,9,9,Zaire,,Franklin,1710177012795,44,5346,LB,1,nfl,Active,IND,,,6
1111766493164949505,8,,98,595464158774878208,4199,,7,9,2,Aaron,,Jones,1723914920214,33,4199,RB,8,nfl,Active,MIN,,,7
1111766493164949505,11,,99,830975786608619520,6888,,8,9,2,Antoine,,Winfield,1722314710443,31,6888,DB,11,nfl,Active,TB,,,4
1111766493164949505,5,,100,862559746694205440,7523,,3,9,3,Trevor,,Lawrence,1724510120788,16,7523,QB,5,nfl,Active,JAX,,,3
1111766493164949505,5,,101,862559746694205440,10222,,3,9,6,Jayden,,Reed,1723135532386,11,10222,WR,5,nfl,Active,GB,,,1
1111766493164949505,6,,102,1045522732957417472,2393,,1,9,5,Danielle,,Hunter,1710285950441,55,2393,DL,6,nfl,Active,HOU,,,9
1111766493164949505,9,,103,862499213718704128,5816,,11,9,4,Nick,,Bosa,1709697935314,97,5816,DL,9,nfl,Active,SF,,,5
1111766493164949505,5,,104,862559746694205440,7588,,3,9,6,Javonte,,Williams,1724082647407,33,7588,RB,5,nfl,Active,DEN,,,3
1111766493164949505,7,,105,740751073198948352,11566,,12,9,9,Jayden,,Daniels,1724433306955,5,11566,QB,7,nfl,Active,WAS,,,0
1111766493164949505,12,,106,741144911407095808,8139,,6,9,5,Zamir,,White,1723997135897,3,8139,RB,12,nfl,Active,LV,,,2
1111766493164949505,12,,107,741144911407095808,6807,,6,9,4,Patrick,,Queen,1710268507986,6,6807,LB,12,nfl,Active,PIT,,,4
1111766493164949505,4,,108,1130644355074629632,8143,,5,9,3,Jerome,,Ford,1724600732917,34,8143,RB,4,nfl,Active,CLE,,,2
1111766493164949505,11,,109,830975786608619520,10892,,8,10,2,Will,Questionable,Anderson,1724873103937,51,10892,LB,11,nfl,Active,HOU,,,1
1111766493164949505,4,,110,1130644355074629632,11635,,5,10,2,Ladd,,McConkey,1724605533951,15,11635,WR,4,nfl,Active,LAC,,,0
1111766493164949505,5,,111,862559746694205440,4963,,3,10,2,Minkah,,Fitzpatrick,1723040122694,39,4963,DB,5,nfl,Active,PIT,,,6
1111766493164949505,4,,112,1130644355074629632,4033,,5,10,3,David,Questionable,Njoku,1724712044661,85,4033,TE,4,nfl,Active,CLE,,,7
1111766493164949505,5,,113,862559746694205440,8110,,3,10,3,Jake,,Ferguson,1724862363406,87,8110,TE,5,nfl,Active,DAL,,,2
1111766493164949505,9,,114,862499213718704128,5967,,11,10,4,Tony,,Pollard,1724680242539,20,5967,RB,9,nfl,Active,TEN,,,5
1111766493164949505,9,,115,862499213718704128,5927,,11,10,16,Terry,,McLaurin,1724287534624,17,5927,WR,9,nfl,Active,WAS,,,5
1111766493164949505,9,,116,862499213718704128,4137,,11,10,17,James,,Conner,1724861763166,6,4137,RB,9,nfl,Active,ARI,,,7
1111766493164949505,10,,117,561715408029736960,11589,,10,10,3,Trey,,Benson,1724342442667,33,11589,RB,10,nfl,Active,ARI,,,0
1111766493164949505,11,,118,830975786608619520,8148,,8,10,1,Jameson,,Williams,1724862363371,9,8148,WR,11,nfl,Active,DET,,,2
1111766493164949505,4,,119,1130644355074629632,5022,,5,10,2,Dallas,Questionable,Goedert,1725229533031,88,5022,TE,4,nfl,Active,PHI,,,6
1111766493164949505,4,,120,1130644355074629632,5840,,5,10,3,Josh,,Hines-Allen,1712772628933,41,5840,DL,4,nfl,Active,JAX,,,5
1111766493164949505,7,,121,740751073198948352,11631,,12,11,2,Brian,,Thomas,1724510421135,7,11631,WR,7,nfl,Active,JAX,,,0
1111766493164949505,3,,122,861798755085692928,10905,,9,11,1,Brian,,Branch,1721859614174,32,10905,DB,3,nfl,Active,DET,,,1
1111766493164949505,4,,123,1130644355074629632,1166,,5,11,1,Kirk,,Cousins,1723294261570,18,1166,QB,4,nfl,Active,ATL,,,12
1111766493164949505,4,,124,1130644355074629632,5960,,5,11,6,T.J.,,Edwards,1722382833984,53,5960,LB,4,nfl,Active,CHI,,,5
1111766493164949505,12,,125,741144911407095808,4988,,6,11,2,Nick,PUP,Chubb,1725230432880,24,4988,RB,12,nfl,Active,CLE,,,6
1111766493164949505,8,,126,595464158774878208,5045,,7,11,1,Courtland,,Sutton,1725027608750,14,5045,WR,8,nfl,Active,DEN,,,6
1111766493164949505,5,,127,862559746694205440,7672,,3,11,4,Ernest,,Jones,1724783754219,53,7672,LB,5,nfl,Active,TEN,,,3
1111766493164949505,4,,128,1130644355074629632,8228,,5,11,3,Jaylen,Questionable,Warren,1724692244201,30,8228,RB,4,nfl,Active,PIT,,,2
1111766493164949505,2,,129,594730254984077312,5944,,4,11,2,Bobby,,Okereke,1723053022824,58,5944,LB,2,nfl,Active,NYG,,,5
1111766493164949505,12,,130,741144911407095808,7600,,6,11,1,Pat,,Freiermuth,1723998635879,88,7600,TE,12,nfl,Active,PIT,,,3
1111766493164949505,11,,131,830975786608619520,8355,,8,11,2,Kayvon,,Thibodeaux,1723534516095,5,8355,DL,11,nfl,Active,NYG,,,2
1111766493164949505,2,,132,594730254984077312,9488,,4,11,1,Jaxon,,Smith-Njigba,1724850962913,11,9488,WR,2,nfl,Active,SEA,,,1
1111766493164949505,8,,133,595464158774878208,6845,,7,12,2,Zack,,Moss,1724368555657,31,6845,RB,8,nfl,Active,CIN,,,4
1111766493164949505,4,,134,1130644355074629632,4971,,5,12,3,Derwin,,James,1707936617759,3,4971,DB,4,nfl,Active,LAC,,,6
1111766493164949505,9,,135,862499213718704128,7648,,11,12,5,Nick,,Bolton,1723506950439,32,7648,LB,9,nfl,Active,KC,,,3
1111766493164949505,8,,136,595464158774878208,5017,,7,12,3,Jessie,,Bates,1724279136424,3,5017,DB,8,nfl,Active,ATL,,,6
1111766493164949505,8,,137,595464158774878208,4037,,7,12,3,Chris,,Godwin,1724512520545,14,4037,WR,8,nfl,Active,TB,,,7
1111766493164949505,8,,138,595464158774878208,2617,,7,12,7,Alex,,Singleton,1723505151631,49,2617,LB,8,nfl,Active,DEN,,,9
1111766493164949505,3,,139,861798755085692928,9508,,9,12,2,Tyjae,,Spears,1724679643268,2,9508,RB,3,nfl,Active,TEN,,,1
1111766493164949505,11,,140,830975786608619520,8167,,8,12,1,Christian,,Watson,1723133733684,9,8167,WR,11,nfl,Active,GB,,,2
1111766493164949505,10,,141,561715408029736960,6130,,10,12,2,Devin,,Singletary,1725198029066,26,6130,RB,10,nfl,Active,NYG,,,5
1111766493164949505,9,,142,862499213718704128,6124,,11,12,2,Montez,,Sweat,1724727046033,98,6124,DL,9,nfl,Active,CHI,,,5
1111766493164949505,2,,143,594730254984077312,1479,,4,12,1,Keenan,Questionable,Allen,1724886904232,13,1479,WR,2,nfl,Active,CHI,,,11
