league_id,user_id,roster_id,player_id,fantasy_positions,full_name,status,active,age,display_name,metadata_team_name,Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,Per_Year_M,2025,2026,2027,2028,player_type
1.2074519527078134e+18,5.483171429683364e+17,7.0,6790,RB,DAndre Swift,Active,True,26.0,MikeNorys,Can't Stand Mike,,,,,,,,,,,
1.2074519527078134e+18,5.6174719668064256e+17,5.0,12471,RB,DJ Giddens,Active,True,21.0,TMISH31,Chubba Lubba Dub Dub,Tyler,3.0,2025-R4,2025.0,RB,$2.25,$2.25,$2.25,$2.25,  ,  
1.2074519527078134e+18,5.953313246890476e+17,9.0,4983,WR,DJ Moore,Active,True,28.0,RunTheBrews,,Chad,1.0,RFA,2024.0,WR,$26.50,$26.50,  ,  ,  ,  
1.2074519527078134e+18,5.95421624581288e+17,10.0,5846,WR,DK Metcalf,Active,True,27.0,MileHighMorty,Bijan* Mustard,Matt,3.0,FM,2024.0,WR,$33.50,$33.50,$33.50,$33.50,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,3294,QB,Dak Prescott,Active,True,31.0,beebudda,Ezekiel's nasty house,Zeke,1.0,RFA,2024.0,QB,$45.50,$45.50,  ,  ,  ,  
1.2074519527078134e+18,5.947302549840773e+17,4.0,10236,TE,Dalton Kincaid,Active,True,25.0,Darkwater59,Solana 🚀 ,Marcus,1.0,2023-R1,2023.0,TE,$6.25,$6.25,$9.75,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,5001,TE,Dalton Schultz,Active,True,28.0,Tski25,The Warden,Tommy,1.0,UFA,2022.0,TE,$6.50,$6.50,  ,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,5870,QB,Daniel Jones,Active,True,28.0,beebudda,Ezekiel's nasty house,Zeke,2.0,UFA,2025.0,QB,$16.00,$16.00,$16.00,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,7090,WR,Darnell Mooney,Active,True,27.0,beebudda,Ezekiel's nasty house,Zeke,2.0,UFA,2025.0,WR,$15.00,$15.00,$15.00,  ,  ,  
1.2074519527078134e+18,4.721360335263457e+17,3.0,2133,WR,Davante Adams,Active,True,32.0,mrTman,SuckMyDitka,Nick,1.0,RFA,2024.0,WR,$30.00,$30.00,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,5892,RB,David Montgomery,Active,True,28.0,kevo1022,Hobblin Dobbins,Kevin,2.0,FM,2024.0,RB,$21.50,$21.50,$21.50,  ,  ,  
1.2074519527078134e+18,5.584833889966367e+17,6.0,4033,TE,David Njoku,Active,True,28.0,socalifjimmy,Marvin’s Naberhood,Jim,1.0,UFA,2022.0,TE,$6.25,$6.25,  ,  ,  ,  
1.2074519527078134e+18,4.721360335263457e+17,3.0,9501,WR,DeMario Douglas,Active,True,24.0,mrTman,SuckMyDitka,Nick,1.0,UFA,2024.0,WR,$11.00,$11.00,  ,  ,  ,  
1.2074519527078134e+18,4.721360335263457e+17,3.0,9226,RB,DeVon Achane,Active,True,23.0,mrTman,SuckMyDitka,Nick,2.0,2023-R1,2023.0,RB,$6.50,$6.50,$23.50,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,7525,WR,DeVonta Smith,Active,True,26.0,TMISH31,Chubba Lubba Dub Dub,Tyler,1.0,RFA,2024.0,WR,$24.50,$24.50,  ,  ,  ,  
,,,,,Deandre Swift,,,,,,Mike N,2.0,FM,2025.0,RB,$22.00,$22.00,$22.00,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,5872,WR,Deebo Samuel,Active,True,29.0,beebudda,Ezekiel's nasty house,Zeke,3.0,UFA,2025.0,WR,$12.00,$12.00,$12.00,$12.00,  ,  
,,,,,Derek Carr,,,,,,Tyler,2.0,UFA,2024.0,QB,$31.25,$0.00,$0.00,  ,0,Cut
1.2074519527078134e+18,5.954641587748782e+17,11.0,3198,RB,Derrick Henry,Active,True,31.0,Koko3321,Kupp the balls,Mike K,1.0,RFA,2024.0,RB,$35.00,$35.00,  ,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,4017,QB,Deshaun Watson,Active,True,29.0,Tski25,The Warden,Tommy,1.0,UFA,2022.0,QB,$42.00,$0.00,  ,  ,  ,IR
1.2074519527078134e+18,5.483171429683364e+17,7.0,9505,RB,Deuce Vaughn,Active,True,23.0,MikeNorys,Can't Stand Mike,Mike N,1.0,2023-R4,2023.0,RB,$1.50,$1.50,  ,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,12476,RB,Devin Neal,Active,True,21.0,TMISH31,Chubba Lubba Dub Dub,Tyler,3.0,2025-R3,2025.0,RB,$2.50,$2.50,$2.50,$2.50,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,11629,WR,Devontez Walker,Active,True,24.0,TMISH31,Chubba Lubba Dub Dub,Tyler,2.0,2024-R4,2024.0,WR,$2.25,$2.25,$2.25,  ,  ,TS
1.2074519527078134e+18,5.6174719668064256e+17,5.0,12486,QB,Dillon Gabriel,Active,True,24.0,TMISH31,Chubba Lubba Dub Dub,Tyler,3.0,2025-R4,2025.0,QB,$2.25,$2.25,$2.25,$2.25,  ,TS
,,,,,Donovan Peoples-Jones,,,,,,Tommy,1.0,FM,2022.0,WR,$4.50,$2.25,  ,  ,0,Cut
1.2074519527078134e+18,5.6171540802973696e+17,2.0,9486,WR,Dontayvion Wicks,Active,True,24.0,chavo317,Jamar Javarison-Lamar,Ruben,3.0,FM,2024.0,WR,$12.50,$12.50,$12.50,$12.50,  ,  
1.2074519527078134e+18,5.947302549840773e+17,4.0,8112,WR,Drake London,Active,True,23.0,Darkwater59,Solana 🚀 ,Marcus,1.0,2022-R1,2022.0,WR,$7.00,$18.00,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,11564,QB,Drake Maye,Active,True,22.0,kevo1022,Hobblin Dobbins,Kevin,2.0,2024-R1,2024.0,QB,$7.50,$7.50,$7.50,  ,  ,  
1.2074519527078134e+18,4.721360335263457e+17,3.0,5854,QB,Drew Lock,Active,True,28.0,mrTman,SuckMyDitka,Nick,2.0,UFA,2024.0,QB,$4.00,$4.00,$4.00,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,12469,RB,Dylan Sampson,Active,True,20.0,Tski25,The Warden,Tommy,3.0,2025-R3,2025.0,RB,$2.75,$2.75,$2.75,$2.75,  ,TS
1.2074519527078134e+18,5.947302549840773e+17,4.0,12499,WR,Elic Ayomanor,Active,True,22.0,Darkwater59,Solana 🚀 ,Marcus,3.0,2025-R3,2025.0,WR,$2.50,$2.50,$2.50,$2.50,  ,TS
1.2074519527078134e+18,5.947302549840773e+17,4.0,12521,TE,Elijah Arroyo,Active,True,22.0,Darkwater59,Solana 🚀 ,Marcus,3.0,2025-R3,2025.0,TE,$2.50,$2.50,$2.50,$2.50,  ,TS
1.2074519527078134e+18,5.953313246890476e+17,9.0,7561,RB,Elijah Mitchell,Active,True,27.0,RunTheBrews,,Chad,2.0,UFA,2025.0,RB,$3.50,$3.50,$3.50,  ,  ,  
1.2074519527078134e+18,5.584833889966367e+17,6.0,7596,WR,Elijah Moore,Active,True,25.0,socalifjimmy,Marvin’s Naberhood,Jim,1.0,RFA,2024.0,WR,$12.25,$12.25,  ,  ,  ,  
1.2074519527078134e+18,4.518075416476344e+17,1.0,12514,WR,Emeka Egbuka,Active,True,22.0,kevo1022,Hobblin Dobbins,Kevin,3.0,2025-R1,2025.0,WR,$7.25,$7.25,$7.25,$7.25,  ,  
1.2074519527078134e+18,5.6171540802973696e+17,2.0,11592,TE,Erick All,Active,True,24.0,chavo317,Jamar Javarison-Lamar,Ruben,2.0,2024-R4,2024.0,TE,$1.25,$0.00,$1.25,  ,  ,IR
1.2074519527078134e+18,1.0687067732232233e+18,8.0,4066,TE,Evan Engram,Active,True,30.0,Tski25,The Warden,Tommy,2.0,UFA,2025.0,TE,$7.50,$7.50,$7.50,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,3164,RB,Ezekiel Elliott,Active,True,29.0,beebudda,Ezekiel's nasty house,Zeke,1.0,FM,2024.0,RB,$10.00,$10.00,  ,  ,  ,  
,,,,,Frank Gore,,,,,,Mike K,2.0,2024-R4,2024.0,RB,$1.25,$0.00,$0.00,  ,0,Cut
1.2074519527078134e+18,5.584833889966367e+17,6.0,8146,WR,Garrett Wilson,Active,True,24.0,socalifjimmy,Marvin’s Naberhood,Jim,1.0,2022-R1,2022.0,WR,$5.75,$18.00,  ,  ,  ,  
1.2074519527078134e+18,7.411449114070958e+17,12.0,1373,QB,Geno Smith,Active,True,34.0,beebudda,Ezekiel's nasty house,Zeke,3.0,UFA,2024.0,QB,$15.00,$15.00,$15.00,$15.00,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,4217,TE,George Kittle,Active,True,31.0,TMISH31,Chubba Lubba Dub Dub,Tyler,1.0,RFA,2024.0,TE,$14.50,$14.50,  ,  ,  ,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,8137,WR,George Pickens,Active,True,24.0,TMISH31,Chubba Lubba Dub Dub,Tyler,4.0,UFA,2025.0,WR,$16.50,$16.50,$16.50,$16.50,$16.50,  
1.2074519527078134e+18,5.6174719668064256e+17,5.0,12502,TE,Gunnar Helm,Active,True,22.0,TMISH31,Chubba Lubba Dub Dub,Tyler,3.0,2025-R4,2025.0,TE,$1.25,$1.25,$1.25,$1.25,  ,TS
1.2074519527078134e+18,1.0687067732232233e+18,8.0,5248,RB,Gus Edwards,Active,True,29.0,Tski25,The Warden,Tommy,2.0,UFA,2023.0,RB,$2.50,$2.50,$2.50,  ,  ,  
1.2074519527078134e+18,1.0687067732232233e+18,8.0,12506,TE,Harold Fannin,Active,True,20.0,Tski25,The Warden,Tommy,3.0,2025-R3,2025.0,TE,$3.00,$3.00,$3.00,$3.00,  ,TS
1.2074519527078134e+18,5.584833889966367e+17,6.0,5848,WR,Hollywood Brown,Active,True,28.0,socalifjimmy,Marvin’s Naberhood,Jim,1.0,UFA,2023.0,WR,$15.00,$15.00,  ,  ,  ,  
