Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028,,2025,2026,2027,1 or 2 years?
Mike N,2,2024-R1,2024,QB,Caleb Williams,$9.50,$9.50,$9.50,,,,$4.75,$2.50,,1
Mike N,1,RFA,2024,QB,Justin Herbert,$37.75,$37.75,,,,,$19.00,,,1
Mike N,2,FM,2025,QB,Kirk Cousins,$4.00,$4.00,$4.00,,,,$2.00,$1.00,,1
Mike N,2,RFA,2025,RB,Brian Robinson,$22.00,$22.00,$22.00,,,,$11.00,$5.50,,1
Mike N,2,FM,2025,RB,Deandre Swift,$22.00,$22.00,$22.00,,,,$11.00,$5.50,,1
Mike N,1,2023-R4,2023,RB,Deuce Vaughn,$1.50,$1.50,,,,,$0.75,,,1
Mike N,2,2024-R3,2024,RB,Isaac Guerendo,$2.50,$2.50,$2.50,,,,$1.25,$0.75,,1
Mike N,1,FM,2025,RB,Isaih Pacheco,$34.00,$34.00,,,,,$17.00,,,1
Mike N,1,UFA,2024,RB,Khalil Herbert,$2.50,$2.50,,,,,$1.25,,,1
Mike N,3,2025-R1,2025,RB,Omarion Hampton,$9.50,$9.50,$9.50,$9.50,,,$4.75,$9.50,,1
Mike N,3,FM,2024,TE,Jake Ferguson,$8.00,$8.00,$8.00,$8.00,,,$4.00,$8.00,,1
Mike N,3,FM,2024,TE,Mark Andrews,$24.50,$12.25,$12.25,$12.25,,,$6.25,$12.25,,1
Mike N,1,2022-R1,2022,WR,Chris Olave,$6.75,$18.00,,,,,$9.00,,,1
Mike N,1,UFA,2025,WR,Christian Kirk,$10.25,$10.25,,,,,$5.25,,,1
Mike N,2,2024-R2,2024,WR,Ja'Lynn Polk,$4.00,$4.00,$4.00,,,,$2.00,$1.00,,1
Mike N,1,2023-R2,2023,WR,Jayden Reed,$3.75,$3.75,,,,,$2.00,,,1
Mike N,2,2024-R2,2024,WR,Keon Coleman,$6.25,$6.25,$6.25,,,,$3.25,$1.50,,1
Mike N,3,UFA,2025,WR,Michael Pittman,$19.50,$19.50,$19.50,$19.50,,,$9.75,$19.50,,1
Mike N,2,2024-R1,2024,WR,Rome Odunze,$8.75,$8.75,$8.75,,,,$4.50,$2.25,,1
