Owner,Length_Remaining,Acquired,Year_of_Contract,Pos,full_name,Per_Year_M,2025,2026,2027,2028,Unnamed: 11,2025.1,2026.1,2027.1,1 or 2 years?,player_type
Marcus,2.0,2024-R3,2024.0,WR,Jalen McMillan,$2.50,$2.50,$2.50,  ,  ,,$1.25,$0.75,,1,TS
Matt,3.0,UFA,2025.0,QB,Jameis Winston,$9.50,$9.50,$9.50,$9.50,  ,,$4.75,$9.50,,1,  
Matt,2.0,2024-R1,2024.0,QB,Jayden Daniels,$9.25,$9.25,$9.25,  ,  ,,$4.75,$2.25,,1,  
Matt,1.0,RFA,2024.0,QB,Joe Burrow,$46.00,$46.00,  ,  ,  ,,$23.00,,,1,  
Matt,3.0,FM,2025.0,QB,Sam Darnold,$26.50,$26.50,$26.50,$26.50,  ,,$13.25,$26.50,,1,  
Matt,2.0,2023-R1,2023.0,RB,Bijan Robinson,$8.50,$8.50,$23.50,  ,  ,,$4.25,$6.00,,1,  
Matt,2.0,2024-R3,2024.0,RB,Braelon Allen,$3.00,$3.00,$3.00,  ,  ,,$1.50,$0.75,,1,  
Matt,2.0,UFA,2024.0,RB,Rico Dowdle,$5.00,$5.00,$5.00,  ,  ,,$2.50,$1.25,,1,  
Matt,1.0,2023-R2,2023.0,RB,Tyjae Spears,$4.00,$4.00,  ,  ,  ,,$2.00,,,1,  
Matt,2.0,2024-R4,2024.0,RB,Tyrone Tracy,$2.00,$2.00,$2.00,  ,  ,,$1.00,$0.50,,1,  
Matt,3.0,FM,2024.0,TE,T.J. Hockenson,$17.50,$17.50,$17.50,$17.50,  ,,$8.75,$17.50,,1,  
Matt,2.0,2024-R2,2024.0,WR,Brian Thomas,$6.00,$6.00,$6.00,  ,  ,,$3.00,$1.50,,1,  
Matt,2.0,UFA,2025.0,WR,Cedric Tillman,$4.50,$4.50,$4.50,  ,  ,,$2.25,$1.25,,1,  
Matt,1.0,FM,2023.0,WR,Curtis Samuel,$3.50,$3.50,  ,  ,  ,,$1.75,,,1,  
Matt,3.0,FM,2024.0,WR,DK Metcalf,$33.50,$33.50,$33.50,$33.50,  ,,$16.75,$33.50,,1,  
Matt,2.0,UFA,2024.0,WR,Joshua Palmer,$13.00,$13.00,$13.00,  ,  ,,$6.50,$3.25,,1,  
Matt,2.0,2024-R3,2024.0,WR,Malachi Corley,$3.50,$3.50,$3.50,  ,  ,,$1.75,$1.00,,1,  
Matt,1.0,RFA,2024.0,WR,Stefon Diggs,$21.00,$21.00,  ,  ,  ,,$10.50,,,1,  
Matt,3.0,2025-R1,2025.0,WR,Tetairoa McMillan,$8.25,$8.25,$8.25,$8.25,  ,,$4.25,$8.25,,1,  
Matt,2.0,RFA,2025.0,WR,Tyreek Hill,$34.00,$34.00,$34.00,  ,  ,,$17.00,$8.50,,1,  
