Owner,Length Remaining,Acquired,Year of Contract,Pos,Player,Per Year $ (In M),2025,2026,2027,2028
Tyler,1,2023-R2,2023,RB,Kendre Miller,$4.75,$4.75
Tyler,2,2024-R2,2024,RB,MarShawn Lloyd,$4.50,$4.50,$4.50
Tyler,1,RFA,2024,RB,Nick Chubb,$27.75,$27.75
Tyler,1,2023-R3,2023,RB,Roschon Johnson,$3.00,$3.00
Tyler,2,2024-R2,2024,RB,Trey Benson,$6.75,$6.75,$6.75
Tyler,1,RFA,2024,TE,George Kittle,$14.50,$14.50
Tyler,1,2023-R3,2023,TE,Luke Musgrave,$2.75,$2.75
Tyler,1,2023-R4,2023,TE,Tucker Kraft,$1.25,$1.25
Tyler,2,FM,2024,WR,Calvin Ridley,$16.50,$16.50,$16.50
Tyler,1,RFA,2024,WR,DeVonta Smith,$24.50,$24.50
Tyler,2,2024-R3,2024,WR,Javon Baker,$3.75,$3.75,$3.75
Tyler,1,RFA,2024,WR,Jerry Jeudy,$18.25,$18.25
Tyler,2,2023-R1,2023,WR,Jordan Addison,$7.00,$7.00,$18.00
Tyler,2,2024-R1,2024,WR,Rome Odunze,$8.75,$8.75,$8.75
Tyler-TS,2,2024-R4,2024,WR,Brenden Rice,$1.75,$1.75,$1.75
Tyler-TS,2,2024-R4,2024,WR,Devontez Walker,$2.25,$2.25,$2.25
Tyler-TS,2,2024-R3,2024,WR,Jermaine Burton,$3.50,$3.50,$3.50
Zeke,1,2023-R1,2023,QB,Anthony Richardson,$8.00,$8.00
Zeke,1,RFA,2024,QB,Dak Prescott,$45.50,$45.50
Zeke,3,UFA,2024,QB,Geno Smith,$15.00,$15.00,$15.00,$15.00
Zeke,1,2023-R4,2023,QB,Stetson Bennett,$1.00,$1.00
Marcus,2,FM,2024,RB,Aaron Jones,$20.50,$20.50,$20.50
Zeke,1,RFA/Rstr2024,2024,RB,Christian McCaffrey,$72.00,$36.00
Zeke,1,FM,2024,RB,Ezekiel Elliott,$10.00,$10.00
Zeke,1,RFA,2024,RB,Joe Mixon,$30.00,$30.00
Zeke,2,2024-R4,2024,TE,Theo Johnson,$2.00,$2.00,$2.00
Zeke,1,2023-R2,2023,WR,Jonathan Mingo,$4.50,$4.50
Zeke,3,FM,2024,WR,Mike Evans,$20.00,$20.00,$20.00,$20.00
Zeke,1,2023-R2,2023,WR,Rashee Rice,$5.00,$5.00
Zeke-TS,2,2024-R4,2024,WR,Jacob Cowing,$1.50,$1.50,$1.50
Ruben,2,RFA,2025,RB,Chuba Hubbard,$33.00,$33.00,$33.00
Nick,2,RFA,2025,TE,Trey McBride,$20.00,$20.00,$20.00
Marcus,2,RFA,2025,TE,Kyle Pitts,$14.00,$14.00,$14.00
Kevin,2,RFA,2025,QB,Baker Mayfield,$40.00,$40.00,$40.00
Ruben,2,RFA,2025,QB,Brock Purdy,$39.00,$39.00,$39.00
Chad,2,RFA,2025,WR,Jaylen Waddle,$30.00,$30.00,$30.00
Jim,2,RFA,2025,RB,Jonathan Taylor,$40.00,$40.00,$40.00
Tyler,2,RFA,2025,QB,Trevor Lawrence,$37.75,$37.75,$37.75
Chad,2,RFA,2025,RB,Kyren Williams,$38.00,$38.00,$38.00
Matt,2,RFA,2025,WR,Tyreek Hill,$34.00,$34.00,$34.00
Marcus,2,RFA,2025,QB,Josh Allen,$60.00,$30.00,$90.00
Kevin,2,RFA,2025,TE,Brenton Strange,$9.25,$9.25,$9.25
Mike N,2,RFA,2025,RB,Brian Robinson,$22.00,$22.00,$22.00
Chad,2,FM,2025,RB,Alvin Kamara,$28.50,$28.50,$28.50
Mike N,2,FM,2025,RB,Deandre Swift,$22.00,$22.00,$22.00
Nick,3,FM,2025,RB,Najee Harris,$10.00,$10.00,$10.00,$10.00
Tommy,4,FM,2025,WR,Jameson Williams,$32.50,$32.50,$32.50,$32.50,$32.50
Zeke,4,FM,2025,WR,Mike Williams,$6.00,$6.00,$6.00,$6.00,$6.00
Nick,3,FM,2025,WR,Rashid Shaheed,$12.50,$12.50,$12.50,$12.50
Chad,4,FM,2025,QB,Aaron Rodgers,$18.00,$18.00,$18.00,$18.00,$18.00
Mike K,4,FM,2025,WR,Jakobi Meyers,$19.25,$19.25,$19.25,$19.25,$19.25
Nick,1,FM,2025,WR,Jalen Coker,$8.00,$8.00
Marcus,4,FM,2025,RB,Javonte Williams,$7.00,$7.00,$7.00,$7.00,$7.00
Kevin,2,FM,2025,WR,Keenan Allen,$5.25,$5.25,$5.25
Mike N,2,FM,2025,QB,Kirk Cousins,$4.00,$4.00,$4.00
Mike N,1,FM,2025,RB,Isaih Pacheco,$34.00,$34.00
Marcus,4,FM,2025,WR,Jahan Dotson,$0.50,$0.50,$0.50,$0.50,$0.50
Matt,3,FM,2025,QB,Sam Darnold,$26.50,$26.50,$26.50,$26.50
Nick,3,FM,2025,WR,Jauan Jennings,$15.00,$15.00,$15.00,$15.00
Nick,3,FM,2025,RB,Jordan Mason,$14.00,$14.00,$14.00,$14.00
Nick,3,FM,2025,RB,Rachaad White,$6.50,$6.50,$6.50,$6.50
Zeke,3,FM,2025,RB,Tyler Allgeier,$10.00,$10.00,$10.00,$10.00
Matt,4,FM,2025,WR,Wan'Dale Robinson,$8.75,$8.75,$8.75,$8.75,$8.75
Zeke,2,UFA,2025,QB,Daniel Jones,$16.00,$16.00,$16.00
Zeke,3,UFA,2025,WR,Deebo Samuel,$12.00,$12.00,$12.00,$12.00
Tommy,2,UFA,2025,TE,Evan Engram,$7.50,$7.50,$7.50
Tyler,4,UFA,2025,WR,George Pickens,$16.50,$16.50,$16.50,$16.50,$16.50
Nick,2,UFA,2025,QB,Joe Milton,$8.00,$8.00,$8.00
Tommy,2,UFA,2025,RB,Travis Etienne,$26.50,$26.50,$26.50
Chad,2,UFA,2025,TE,Cole Kmet,$3.00,$3.00,$3.00
Chad,2,UFA,2025,RB,Elijah Mitchell,$3.50,$3.50,$3.50
Chad,3,UFA,2025,TE,Jonnu Smith,$6.00,$6.00,$6.00,$6.00
Zeke,2,UFA,2025,WR,Darnell Mooney,$15.00,$15.00,$15.00
Matt,3,UFA,2025,QB,Jameis Winston,$9.50,$9.50,$9.50,$9.50
Mike K,2,UFA,2025,QB,Justin Fields,$28.50,$28.50,$28.50
