draft_id,draft_slot,is_keeper,pick_no,picked_by,player_id,reactions,roster_id,round,metadata.amount,metadata.first_name,metadata.injury_status,metadata.last_name,metadata.news_updated,metadata.number,metadata.player_id,metadata.position,metadata.slot,metadata.sport,metadata.status,metadata.team,metadata.years_exp
993378040933564417,5,,143,861798755085692928,4985,,9,12,49,Rashaad,,Penny,1692330332527,23,4985,RB,5,nfl,Active,PHI,5
993378040933564417,8,,144,578293895956312064,7606,,2,12,2,Kadarius,Questionable,Toney,1693317304604,19,7606,WR,8,nfl,Active,KC,2
993378040933564417,8,,145,578293895956312064,1166,,2,13,2,Kirk,,Cousins,1691673318305,8,1166,QB,8,nfl,Active,MIN,11
993378040933564417,7,,146,561747196680642560,8183,,5,13,2,Brock,,Purdy,1693017904509,13,8183,QB,7,nfl,Active,SF,1
993378040933564417,8,,147,578293895956312064,10892,,2,13,2,Will,,Anderson,1692539715152,51,10892,LB,8,nfl,Active,HOU,0
993378040933564417,11,,148,561715408029736960,7561,,10,13,1,Elijah,,Mitchell,1692654009564,25,7561,RB,11,nfl,Active,SF,2
993378040933564417,12,,149,830975786608619520,4973,,8,13,1,Hayden,,Hurst,1693013704466,81,4973,TE,12,nfl,Active,CAR,5
993378040933564417,1,,150,862499213718704128,8121,,11,13,1,Romeo,Questionable,Doubs,1693139720750,87,8121,WR,1,nfl,Active,GB,1
993378040933564417,3,,151,862881247247052800,6120,,4,13,1,Christian,Questionable,Wilkins,1692220524687,94,6120,DL,3,nfl,Active,MIA,4
993378040933564417,4,,152,740751073198948352,1373,,12,13,1,Geno,,Smith,1693069511998,7,1373,QB,4,nfl,Active,SEA,10
993378040933564417,6,,153,595464158774878208,7596,,7,13,1,Elijah,,Moore,1693338606170,8,7596,WR,6,nfl,Active,CLE,2
993378040933564417,7,,154,561747196680642560,3199,,5,13,1,Michael,,Thomas,1692910540532,13,3199,WR,7,nfl,Active,NO,7
993378040933564417,11,,155,561715408029736960,5001,,10,13,2,Dalton,,Schultz,1692541215696,83,5001,TE,11,nfl,Active,HOU,5
993378040933564417,10,,156,741144911407095808,6118,,6,13,1,Quinnen,,Williams,1689271535637,95,6118,DL,10,nfl,Active,NYJ,4
993378040933564417,11,,157,561715408029736960,8228,,10,14,1,Jaylen,,Warren,1692923755902,30,8228,RB,11,nfl,Active,PIT,1
993378040933564417,3,,158,862881247247052800,5185,,4,14,2,Allen,Questionable,Lazard,1693329604391,10,5185,WR,3,nfl,Active,NYJ,5
993378040933564417,3,,159,862881247247052800,5334,,4,14,4,Josey,,Jewell,1692626706242,47,5334,LB,3,nfl,Active,DEN,5
993378040933564417,4,,160,740751073198948352,8210,,12,14,1,Chigoziem,,Okonkwo,1693240848014,85,8210,TE,4,nfl,Active,TEN,1
993378040933564417,6,,161,595464158774878208,9225,,7,14,1,Tank,,Bigsby,1693106116510,4,9225,RB,6,nfl,Active,JAX,0
993378040933564417,7,,162,561747196680642560,4040,,5,14,1,JuJu,,Smith-Schuster,1692534614383,7,4040,WR,7,nfl,Active,NE,6
993378040933564417,11,,163,561715408029736960,10859,,10,14,2,Sam,,LaPorta,1692992401560,87,10859,TE,11,nfl,Active,DET,0
